filename,title,abstract,publication_date,topics
2021-03456.xml,"Assessments, Amendments To Address the Temporary Deposit Insurance Assessment Effects of the Optional Regulatory Capital Transitions for Implementing the Current Expected Credit Losses Methodology","The Federal Deposit Insurance Corporation is adopting amendments to the risk-based deposit insurance assessment system applicable to all large insured depository institutions (IDIs), including highly complex IDIs, to address the temporary deposit insurance assessment effects resulting from certain optional regulatory capital transition provisions relating to the implementation of the current expected credit losses (CECL) methodology. The final rule removes the double counting of a specified portion of the CECL transitional amount or the modified CECL transitional amount, as applicable (collectively, the CECL transitional amounts), in certain financial measures that are calculated using the sum of Tier 1 capital and reserves and that are used to determine assessment rates for large or highly complex IDIs. The final rule also adjusts the calculation of the loss severity measure to remove the double counting of a specified portion of the CECL transitional amounts for a large or highly complex IDI. This final rule does not affect regulatory capital or the regulatory capital relief provided in the form of transition provisions that allow banking organizations to phase in the effects of CECL on their regulatory capital ratios.",2021-02-25,"['Bank deposit insurance', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Savings associations']"
2013-13595.xml,Definition of “Predominantly Engaged in Activities That Are Financial in Nature or Incidental Thereto”,"The Federal Deposit Insurance Corporation (``FDIC'') is adopting a final rule that establishes criteria for determining if a company is predominantly engaged in ``activities that are financial in nature or incidental thereto'' for purposes of Title II of the Dodd- Frank Wall Street Reform and Consumer Protection Act (``Dodd-Frank Act'' or the ``Act''). A company that is predominantly engaged in such activities is a ``financial company'' for purposes of Title II of the Act (``Title II'') unless it is one of the few entities specifically excepted by the Act. A financial company, other than an insured depository institution, may be subject to Title II's orderly liquidation authority if, among other things, it is determined that the failure of the company and its resolution under otherwise applicable law would have serious adverse effects on financial stability in the United States.",2013-06-10,"['Holding companies', 'Insurance companies']"
04-22384.xml,Securities of Nonmember Insured Banks,"The FDIC is adopting a final rule, unchanged from an interim final rule published on April 12, 2004 in the Federal Register (see 69 FR 19085), which confirms amendments to its securities disclosure regulations applicable to banks with securities registered under section 12 of the Securities Exchange Act of 1934 (Exchange Act). These amendments implemented the requirements of the Exchange Act, as amended by the Sarbanes-Oxley Act of 2002, which mandates electronic filing of reports related to beneficial ownership of securities by the directors, executive officers, and principal shareholders of public companies. Prior to issuance of the interim final rule, the FDIC's securities disclosure regulations prohibited electronically transmitted filings or submissions of materials in electronic format to the FDIC. The amended rules provide an exception to this prohibition, requiring electronically transmitted filings of beneficial ownership reports by bank directors, officers, and principal shareholders to disclose securities transactions and ownership. Related technical or procedural provisions were also amended as appropriate.",2004-10-06,"['Accounting', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Confidential business information', 'Reporting and recordkeeping requirements', 'Securities']"
2020-27622.xml,Electronic Trading Risk Principles,"The Commodity Futures Trading Commission (``Commission'' or ``CFTC'') is adopting final rules amending its part 38 regulations to address the potential risk of a designated contract market's (``DCM'') trading platform experiencing a market disruption or system anomaly due to electronic trading. The final rules set forth three principles applicable to DCMs concerning: The implementation of exchange rules applicable to market participants to prevent, detect, and mitigate market disruptions and system anomalies associated with electronic trading; the implementation of exchange-based pre-trade risk controls for all electronic orders; and the prompt notification of Commission staff by DCMs of any significant market disruptions on their electronic trading platforms. In addition, the final rules include acceptable practices (``Acceptable Practices''), which provide that a DCM can comply with these principles by adopting and implementing rules and risk controls reasonably designed to prevent, detect, and mitigate market disruptions and system anomalies associated with electronic trading.",2021-01-11,"['Commodity futures', 'Reporting and recordkeeping requirements']"
02-31922.xml,Filing Procedures; Unsafe and Unsound Banking Practices; Registration of Transfer Agents; International Banking; Management Official Interlocks; and Golden Parachutes and Indemnification Payments,"The FDIC is amending its regulations governing application, notice and request procedures to reflect changes from an internal reorganization order, which included the consolidation of the Division of Supervision and the Division of Compliance and Consumer Affairs into the Division of Supervision and Consumer Protection. The FDIC has also determined that the delegations of authority found in its filing procedures regulation should be removed to allow for greater flexibility in its delegation and decision making process.",2002-12-27,"['Administrative practice and procedure', 'Bank deposit insurance', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Foreign investments in United States', 'Reporting and recordkeeping requirements', 'Reporting and recordkeeping requirements']"
2012-24987.xml,Supervisory and Company-Run Stress Test Requirements for Covered Companies,"The Dodd-Frank Wall Street Reform and Consumer Protection Act (Dodd-Frank Act or Act) requires the Board to conduct annual stress tests of bank holding companies with total consolidated assets of $50 billion or more and nonbank financial companies the Financial Stability Oversight Council (Council) designates for supervision by the Board (nonbank covered companies, and together, with bank holding companies with total consolidated assets of $50 billion or more, covered companies) and also requires the Board to issue regulations that require covered companies to conduct stress tests semi-annually. The Board is adopting this final rule to implement the stress test requirements for covered companies established in the Dodd-Frank Act. This final rule does not apply to any banking organization with total consolidated assets of less than $50 billion. Furthermore, implementation of the stress testing requirements for bank holding companies that did not participate in the Supervisory Capital Assessment Program is delayed until September 2013.",2012-10-12,"['Administrative practice and procedure', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Federal Reserve System', 'Holding companies', 'Reporting and recordkeeping requirements', 'Securities']"
2015-13627.xml,Amendments for Small and Additional Issues Exemptions Under the Securities Act (Regulation A),"This document corrects an instruction for the authority to part 200 in a final rule published in the Federal Register of April 20, 2015 regarding the Amendments for Small and Additional Issues Exemptions under the Securities Act (Regulation A).",2015-06-04,[]
2012-21155.xml,Disclosure of Payments by Resource Extraction Issuers,"We are adopting new rules and an amendment to a new form pursuant to Section 1504 of the Dodd-Frank Wall Street Reform and Consumer Protection Act relating to disclosure of payments by resource extraction issuers. Section 1504 added Section 13(q) to the Securities Exchange Act of 1934, which requires the Commission to issue rules requiring resource extraction issuers to include in an annual report information relating to any payment made by the issuer, a subsidiary of the issuer, or an entity under the control of the issuer, to a foreign government or the Federal Government for the purpose of the commercial development of oil, natural gas, or minerals. Section 13(q) requires a resource extraction issuer to provide information about the type and total amount of such payments made for each project related to the commercial development of oil, natural gas, or minerals, and the type and total amount of payments made to each government. In addition, Section 13(q) requires a resource extraction issuer to provide information regarding those payments in an interactive data format.",2012-09-12,"['Reporting and recordkeeping requirements', 'Securities']"
E8-10388.xml,"Revisions to the Cross-Border Tender Offer, Exchange Offer, and Business Combination Rules and Beneficial Ownership Reporting Rules for Certain Foreign Institutions","After eight years of experience with the current cross-border exemptions adopted in 1999, the Commission is proposing changes to expand and enhance the utility of these exemptions for business combination transactions. Our goal continues to be to encourage offerors and issuers in cross-border business combinations, and rights offerings by foreign private issuers, to permit U.S. security holders to participate in these transactions in the same manner as other holders. Many of the rule changes we propose today would codify existing interpretive positions and exemptive orders in the cross- border area. In several instances, we request comment about whether the rule changes we propose also should apply to tender offers for U.S. companies. In this release, we also address certain interpretive issues of concern for U.S. and other offerors engaged in cross-border business combinations. We hope that this guidance will prove useful in structuring and facilitating these transactions in a manner consistent with U.S. investor protection.",2008-05-09,"['Reporting and recordkeeping requirements', 'Securities']"
C1-2012-3390.xml,Commodity Pool Operators and Commodity Trading Advisors: Compliance Obligations,"The Commodity Futures Trading Commission is adopting amendments to its existing part 4 regulations and promulgating one new regulation regarding Commodity Pool Operators and Commodity Trading Advisors. The Commission is also adopting new data collections for CPOs and CTAs that are consistent with a data collection required under the Dodd-Frank Act for entities registered with both the Commission and the Securities and Exchange Commission. The adopted amendments rescind an exemption from registration as a CPO; rescind relief from the certification requirement for annual reports provided to operators of certain pools offered only to qualified eligible persons (``QEPs''); modify the criteria for claiming exclusion from the definition of CPO; and require the annual filing of notices claiming exemptive relief under several sections of the Commision's regulations. Finally, the adopted amendments include new risk disclosure requirements for CPOs and CTAs regarding swap transactions. 2. In 17 CFR Part 4, beginning on page 11283, in the second column, in 31st line of text, amendatory instructions 1-8 and their corresponding amendments to the Code of Federal Regulations are being republished as follows:",2012-03-26,[]
05-8013.xml,"Amendment to Rule 4-01(a) of Regulation S-X Regarding the Compliance Date for Statement of Financial Accounting Standards No. 123 (Revised 2004), Share-Based Payment","The Securities and Exchange Commission (``SEC'' or ``Commission'') is amending Regulation S-X to amend the date for compliance with Statement of Financial Accounting Standards No. 123 (revised 2004), Share-Based Payment (``Statement No. 123R'') so that each registrant that is not a small business issuer will be required to prepare financial statements in accordance with Statement 123R beginning with the first interim or annual reporting period of the registrant's first fiscal year beginning on or after June 15, 2005. We also are amending the effective date for compliance with Statement No. 123R so that each small business issuer will be required to prepare financial statements in accordance with Statement 123R beginning with the first interim or annual reporting period of the registrant's first fiscal year beginning on or after December 15, 2005.",2005-04-21,"['Accountants', 'Accounting', 'Reporting and recordkeeping requirements', 'Securities']"
2014-20890.xml,Nationally Recognized Statistical Rating Organizations,"In accordance with the Dodd-Frank Wall Street Reform and Consumer Protection Act (``Dodd-Frank Act'') and to enhance oversight, the Securities and Exchange Commission (``Commission'') is: adopting amendments to existing rules and new rules that apply to credit rating agencies registered with the Commission as nationally recognized statistical rating organizations (``NRSROs''); adopting a new rule and form that apply to providers of third-party due diligence services for asset-backed securities; and adopting amendments to existing rules and a new rule that implement a requirement added by the Dodd-Frank Act that issuers and underwriters of asset-backed securities make publicly available the findings and conclusions of any third-party due diligence report obtained by the issuer or underwriter. The Commission also is adopting certain technical amendments to existing rules.",2014-09-15,"['Brokers', 'Reporting and recordkeeping requirements', 'Securities']"
04-12521.xml,Truth in Savings,"The Board proposes to amend Regulation DD, which implements the Truth in Savings Act, and the staff commentary to the regulation, to address concerns about the uniformity and adequacy of information provided to consumers when they overdraw their accounts. The proposed amendments, in part, address a specific service offered by depository institutions, commonly referred to as ``bounced-check protection'' or ``courtesy overdraft protection.'' Bounced-check protection is an automated service that is sometimes provided to deposit account consumers as an alternative to a traditional line of credit. To address concerns about the marketing of bounced-check protection services, a proposed revision to the regulation would expand the prohibition against misleading advertisements to cover communications with current consumers about existing accounts; the staff commentary would provide examples. Proposed revisions to Regulation DD would require additional fee and other disclosures about automated overdraft services, including in advertisements. The Board also is proposing amendments of general applicability that would require institutions to provide more uniform disclosures about overdraft and returned-item fees.",2004-06-07,"['Advertising', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Consumer protection', 'Reporting and recordkeeping requirements', 'Truth in savings']"
E7-7877.xml,Consumer Leasing,"The Board is proposing to amend Regulation M, which implements the Consumer Leasing Act, to withdraw portions of the interim final rules for the electronic delivery of disclosures issued March 30, 2001. The interim final rules address the timing and delivery of electronic disclosures, consistent with the requirements of the Electronic Signatures in Global and National Commerce Act (E-Sign Act). Compliance with the 2001 interim final rules is not mandatory. Thus, removing the interim rules from the Code of Federal Regulations would reduce confusion about the status of the provisions and simplify the regulation. The Board is also proposing to amend Regulation M to provide that when an advertisement is accessed by a consumer in electronic form, certain disclosures must be provided to the consumer in electronic form on or with the advertisement, and that in these circumstances the consumer consent and other provisions of the E-Sign Act do not apply. Similar rules are being proposed under other consumer fair lending and financial services regulations administered by the Board.",2007-04-30,"['Advertising', 'Federal Reserve System', 'Reporting and recordkeeping requirements', 'Truth in lending']"
2013-25580.xml,Policy To Encourage Trial Disclosure Programs; Information Collection,"The Bureau of Consumer Financial Protection (Bureau) is issuing its Policy to Encourage Trial Disclosure Programs (Policy), which is intended to carry out the Bureau's authority under of the Dodd-Frank Wall Street Reform and Consumer Protection Act of 2010 (Dodd-Frank Act).",2013-10-29,[]
2019-27290.xml,Community Reinvestment Act Regulations; Request for Public Input,"On January 9, 2020, the OCC and the Federal Deposit Insurance Corporation (the agencies) published a notice of proposed rulemaking that would amend their regulations implementing the Community Reinvestment Act (CRA). The OCC seeks public input with this request for information to assist in determining how the proposed rule might be revised to ensure that the final rule better achieves the statute's purpose of encouraging banks to help serve their communities by making the framework more objective, transparent, consistent, and easy to understand. Specifically, this request for information seeks bank- specific data and information to supplement currently-available data and to inform potential revisions to modernize and strengthen the CRA regulatory framework.",2020-01-10,[]
01-20629.xml,Exemption for Certain Brokers or Dealers From Provisions of the Commodity Exchange Act and CFTC Regulations,"In accordance with certain provisions of the Commodity Futures Modernization Act of 2000 (``CFMA''), the Commodity Futures Trading Commission (``Commission'' or ``CFTC'') has adopted, substantially as proposed, new rule which establishes procedures for granting requests for orders exempting certain brokers or dealers (``BDs'') registered with the Securities and Exchange Commission (``SEC'') from provisions of the Commodity Exchange Act (the ``Act'') and/or the Commission's regulations where the Commission determines that the exemption is necessary or appropriate in the public interest and consistent with the protection of investors. The Commission is also permitting securities industry self-regulatory organizations (``SROs'') to submit such requests for exemptive orders on behalf of their members, and it is delegating to the Director of the Division of Trading and Markets authority to grant, to conditionally grant, or to deny, any such requests for exemptive orders.",2001-08-17,"['Authority delegations (Government agencies)', 'Reporting and recordkeeping requirements']"
02-18194.xml,Customer Identification Programs for Mutual Funds,"The Department of the Treasury, through the Financial Crimes Enforcement Network (FinCEN), and the Securities and Exchange Commission are jointly issuing a proposed regulation to implement Section 326 of the Uniting and Strengthening America by Providing Appropriate Tools Required to Intercept and Obstruct Terrorism (USA PATRIOT) Act of 2001 (the Act). Section 326 requires the Secretary of the Treasury to jointly prescribe with the Securities and Exchange Commission a regulation that, at a minimum, requires investment companies to adopt and implement reasonable procedures to verify the identity of any person seeking to open an account, to the extent reasonable and practicable; maintain records of the information used to verify the person's identity; and determine whether the person appears on any lists of known or suspected terrorists or terrorist organizations provided to investment companies by any government agency. The proposed rule would apply to investment companies that are mutual funds.",2002-07-23,"['Administrative practice and procedure', 'Authority delegations (Government agencies)', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Brokers', 'Currency', 'Foreign banking', 'Foreign currencies', 'Gambling', 'Investigations', 'Law enforcement', 'Penalties', 'Reporting and recordkeeping requirements', 'Securities']"
2020-25394.xml,Swap Clearing Requirement Exemptions,"The Commodity Futures Trading Commission (Commission or CFTC) is adopting amendments to the regulations governing which swaps are exempt from the clearing requirement set forth in applicable provisions of the Commodity Exchange Act (CEA). These amendments exempt from the clearing requirement swaps entered into by certain central banks, sovereign entities, international financial institutions, bank holding companies, savings and loan holding companies, and community development financial institutions. The Commission also is publishing a compliance schedule setting forth all the past compliance dates for the 2012 and 2016 swap clearing requirement regulations. Finally, the Commission is making certain other, non-substantive technical amendments.",2020-11-30,"['Business and industry', 'Cooperatives', 'Reporting and recordkeeping requirements', 'Swaps']"
2011-22469.xml,Supervised Securities Holding Companies Registration,"The Board is issuing a proposed rule to implement section 618 of the Dodd-Frank Wall Street Reform and Consumer Protection Act (``Dodd-Frank Act''), which permits nonbank companies that own at least one registered securities broker or dealer, and that are required by a foreign regulator or provision of foreign law to be subject to comprehensive consolidated supervision, to register with the Board and subject themselves to supervision by the Board. The proposed rule outlines the requirements that a securities holding company must satisfy to make an effective election, including filing the appropriate form with the responsible Reserve Bank, providing all additional required information, and satisfying the statutory waiting period of 45 days or such shorter period the Board determines appropriate.",2011-09-02,"['Administrative practice and procedure', 'Brokers', 'Federal Reserve System', 'Holding companies', 'Reporting and recordkeeping requirements', 'Securities']"
2020-13801.xml,Truth in Lending (Regulation Z); Determining “Underserved” Areas Using Home Mortgage Disclosure Act Data,"This interpretive rule construes the Bureau of Consumer Financial Protection's (Bureau's) Regulation Z, which implements the Truth in Lending Act (TILA). The Bureau produces annually a list of rural and underserved counties and areas that is used in applying various Regulation Z provisions, such as the exemption from the requirement to establish an escrow account for a higher-priced mortgage loan and the ability to originate balloon-payment qualified mortgages. Regulation Z states that an area is ``underserved'' during a calendar year if, according to Home Mortgage Disclosure Act (HMDA) data for the preceding calendar year, it is a county in which no more than two creditors extended covered transactions, as defined in Regulation Z, secured by first liens on properties in the county five or more times. The official commentary provides an interpretation relating to this standard that refers to certain data elements from the previous version of the Bureau's Regulation C, which implements HMDA, that were modified or eliminated in the 2015 amendments to Regulation C. The Bureau is issuing this interpretive rule to supersede that now outdated interpretation, specifically by describing below the HMDA data that will instead be used in determining that an area is ``underserved.''",2020-06-26,[]
02-16191.xml,Home Mortgage Disclosure,"The Board is publishing amendments to Regulation C (Home Mortgage Disclosure). The amendments establish the thresholds for determining the loans for which financial institutions must report loan pricing data (the spread between the annual percentage rate on a loan and the yield on comparable Treasury securities) as required under a final rule approved in January 2002; the thresholds are a spread of 3 percentage points for first-lien loans and 5 percentage points for subordinate-lien loans. The amendments require lenders to report the lien status of a loan or application. The amendments also require that lenders ask applicants their ethnicity, race, and sex in applications taken by telephone; this monitoring requirement is made applicable as of January 1, 2003, through a rule published elsewhere in today's Federal Register.",2002-06-27,"['Banks, banking', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Mortgages', 'Reporting and recordkeeping requirements']"
02-30036.xml,Retention of Records Relevant to Audits and Reviews,"As directed by section 802 of the Sarbanes-Oxley Act of 2002, we are proposing rules requiring accounting firms to retain for five years certain records relevant to their audits and reviews of issuers' financial statements. Records to be retained would include an accounting firm's workpapers and certain other documents that contain conclusions, opinions, analyses, or financial data related to the audit or review.",2002-11-27,"['Accountants', 'Accounting']"
2016-16964.xml,Disclosure Update and Simplification,"We are proposing amendments to certain of our disclosure requirements that may have become redundant, duplicative, overlapping, outdated, or superseded, in light of other Commission disclosure requirements, U.S. Generally Accepted Accounting Principles (``U.S. GAAP''), International Financial Reporting Standards (``IFRS''), or changes in the information environment. We are also soliciting comment on certain Commission disclosure requirements that overlap with, but require information incremental to, U.S. GAAP to determine whether to retain, modify, eliminate, or refer them to the Financial Accounting Standards Board (``FASB'') for potential incorporation into U.S. GAAP. The proposed amendments are intended to facilitate the disclosure of information to investors, while simplifying compliance efforts, without significantly altering the total mix of information provided to investors. These proposals are part of an initiative by the Division of Corporation Finance to review disclosure requirements applicable to issuers to consider ways to improve the requirements for the benefit of investors and issuers. We are also issuing these proposals as part of our efforts to implement title LXXII, section 72002(2) of the Fixing America's Surface Transportation Act.",2016-08-04,"['Accountants', 'Accounting', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Brokers', 'Employee benefit plans', 'Fraud', 'Holding companies', 'Insurance companies', 'Investment companies', 'Oil and gas exploration', 'Reporting and recordkeeping requirements', 'Securities', 'Utilities']"
2010-17658.xml,Adoption of Supplemental Standards of Ethical Conduct for Members and Employees of the Securities and Exchange Commission and Revisions to the Commission's Ethics Rules,"The Securities and Exchange Commission with the concurrence of the Office of Government Ethics is adopting supplemental standards of ethical conduct for the Commission's members and employees. The new supplemental standards give guidance to Commission members and employees on permitted, prohibited, and restricted financial interests and transactions and on engaging in outside employment and activities. In addition, the Commission has revised its ethics rules to make them compatible with the Office of Government Ethics' government-wide ethics provisions and to reflect current Commission policies.",2010-07-20,['Administrative practice and procedure']
06-982.xml,Alternative Market Risk and Credit Risk Capital Charges for Futures Commission Merchants and Specified Foreign Currency Forward and Inventory Capital Charges,"The Commodity Futures Trading Commission (``Commission'' or ``CFTC'') is amending Commission regulations that impose minimum financial and related reporting requirements upon each person registered as a futures commission merchant (``FCM''). The amended regulations address the capital computations of FCMs that are registered with the Securities and Exchange Commission (``SEC'') as securities brokers or dealers (``FCM/BDs''), and, who, pursuant to SEC's regulations governing consolidated supervised entities (``CSEs''), have received SEC approval to use internal mathematical models to determine the deductions from their capital for market risk and credit risk associated with their proprietary trading assets. Subject to the reporting and other requirements specified in the amended regulations, these FCM/BDs may elect to compute their adjusted net capital using their SEC-approved alternative market risk and credit risk capital deductions in lieu of CFTC requirements. The Commission is also adopting other rule amendments that address confidential treatment for the reports and statements that would be required to be filed under the amended regulations, and also address the confidential treatment of certain other information that all FCMs must file with both the Commission and the SEC. Finally, the Commission is also adopting amendments that will affect the minimum financial requirements of FCMs and introducing brokers (``IBs'') by reducing the capital deductions for their uncovered inventory or forward contracts in specified foreign currencies. This reduction is consistent with guidance currently provided by the Commission to FCMs and IBs.",2006-02-02,"['Brokers', 'Commodity futures', 'Freedom of information', 'Reporting and recordkeeping requirements', 'Sunshine Act']"
E8-31186.xml,Unfair or Deceptive Acts or Practices,"The Board, OTS, and NCUA (collectively, the Agencies) are exercising their authority under section 5(a) of the Federal Trade Commission Act to prohibit unfair or deceptive acts or practices. The final rule prohibits institutions from engaging in certain acts or practices in connection with consumer credit card accounts. The final rule relates to other Board rules under the Truth in Lending Act, which are published elsewhere in today's Federal Register. Because the Board has proposed new rules regarding overdraft services for deposit accounts under the Electronic Fund Transfer Act elsewhere in today's Federal Register, the Agencies are not taking action on overdraft services at this time. A secondary basis for OTS's rule is the Home Owners' Loan Act.",2009-01-29,"['Banks, banking', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Consumer protection', 'Credit', 'Credit unions', 'Intergovernmental relations', 'Savings associations', 'Trade practices']"
2013-05888.xml,Regulation Systems Compliance and Integrity,"The Securities and Exchange Commission (``Commission'') is proposing Regulation Systems Compliance and Integrity (``Regulation SCI'') under the Securities Exchange Act of 1934 (``Exchange Act'') and conforming amendments to Regulation ATS under the Exchange Act. Proposed Regulation SCI would apply to certain self-regulatory organizations (including registered clearing agencies), alternative trading systems (``ATSs''), plan processors, and exempt clearing agencies subject to the Commission's Automation Review Policy (collectively, ``SCI entities''), and would require these SCI entities to comply with requirements with respect to their automated systems that support the performance of their regulated activities.",2013-03-25,"['Brokers', 'Reporting and recordkeeping requirements', 'Securities']"
